review_text,usefull,unusefull,product_name,category,stars
"Заказывали в подарок, коробка пришла не первой свежести, но внутри все хорошо упаковано и цело. Уже пользовались таким увлажнителем, все нравится, удобный средний объем",0,0,Ультразвуковой увлажнитель воздуха,Бытовая техника,5
товар пришёл раньше срока спасибо!!!,0,14,Анаболический комплекс,Спортивное питание,5
"Красивый,не шумный,но работает только от сети. На видео видно, что на окне держится хорошо ,но индикатор показывает ,что нет электропитание.Искала специально робот чтоб работал от аккумулятора,но увы.Буду делать возврат.",2,5,Робот для мойки окон,Бытовая техника,3
"как поет в своих песнях Раут ""хороший клоун - мертвый клоун"" И ТУТ ТАК ЖЕ! ЕСЛИ ТЫ ПЬЕШ ПРЕДТРЕН И НЕ ЗВЕРЕЕШЬ ТО ПРОБЛЕМЫ ВИДИМО С ТОБой. я ваще дикий с него и на тренях по шесть часов херачу",1,0,Предтренировочный комплекс,Спортивное питание,5
"Идеально подошла по размеру, все работают",1,0,Умная дверная ручка,Бытовая техника,5
И месяца не прошло. Не рекомендую.,3,0,Тапочки,Одежда,1
Полностью соответствует описанию ,0,0,Карта доступа Mifare,Электроника,5
"Товаром доволен. Сборка на раз два . Встал на место , как тут и был . Спасибо продавцу.",3,0,Детское сиденье на унитаз,Товары для детей,5
"предтрен очень зашел, хорош прям",1,0,Предтренировочный комплекс,Спортивное питание,5
"Пью результат не заметила, доставка норм",1,1,Поддержка цикла SARMs,Спортивное питание,4
Оставляет впечатление надёжного картридера,0,0,Картридер CF Express Type A и SD,Компьютерная периферия,5
"Увлажнитель мне понравился ,со своей функцией справляется ,и очень удобно вливать воду в резервуар.",0,0,Увлажнитель воздуха ультразвуковой,Бытовая техника,5
к баро 9 подошёл,1,0,Сменный ремешок для часов,Спортивные аксессуары,5
Очень понравился. Работает тихо. Моет быстро и чисто. Покупкой довольна. Рекомендую. Спасибо продавцу.,0,0,Робот мойщик окон,Бытовая техника,5
Тошнит с него,1,2,Предтренировочный комплекс,Спортивное питание,1
"Мел хорошо просушен, чувствуется, что кусочки разного сорта. Один из них чаще встречающийся слишком плотный, что не поддается укусу и разжевывается в тугую, жирную массу- он откровенно не моё.  Но в целом продавца рекомендую!",1,0,Пиленый мел,Товары для творчества,5
Все флаконы подтекшие,0,0,Предтренировочный комплекс,Спортивное питание,3
"Отличный прибор, все очень понравилось. Соответствует заявленным характеристикам.",0,0,Робот для мойки окон,Бытовая техника,5
"Упакованая клетчатка была хорошо, в двойной герметичный пакет. Попробовала добавить в диетический хлеб, мне понравилось. Спасибо производителю и Озон",1,0,Льняная клетчатка,Здоровое питание,5
"Дизайн, влагозащита, большая память, хороший и яркий дисплей",0,0,Смартфон,Электроника,5
Работае,0,0,Ресвератрол,Здоровье и красота,5
Ну так в принципе норм только озон персонал не вежливый и упаковка порвана кобуд то на складе играли в детские игры,0,0,Предтренировочный комплекс,Спортивное питание,3
"Встала и работает , стучу по дереву",0,0,Карта памяти MicroSDXC 256Gb,Электроника,5
"Очень красивые , ношу на второй прокол в ухе, красиво ложатся . Куплены по приятной цене по скидке",1,1,Женские серьги-клаймберы с жемчугом,Ювелирные изделия,5
Действия аппарата ещё не проверял,0,2,Гербицид,Сад и огород,5
"Нравится все кроме… зипка не закрыта, туда забивается протеин, ее надо чистить иначе ее не закроешь. Было бы не плохо, если бы сначала закрывали зипку, а потом запаивали сам пакет)",0,0,Сывороточный протеин,Спортивное питание,5
Вторые покупаю- очень понравились!,0,0,Тапочки,Обувь,5
Слабоват,0,0,Эпилятор,Бытовая техника,3
"С помощью капсул удалось уменьшить аппетит, растяжки на коже стали менее заметными, результат радует.",1,0,Капсулы для похудения,Здоровье и красота,5
"серьги жене понравились.Не темнеют (пока что, дальше видно будет). Подарок удался. По качеству не хлипкие.",2,0,Серебряные серьги-каффы,Ювелирные изделия,5
Хорошо работает 🙌,0,0,Предтренировочный комплекс,Спортивное питание,5
"Хороший аппарат,работает бе шума.Продовец отправил быстро,хорошо упакован,в пульте имеется батарейка.Можно смело покупать.",1,0,Увлажнитель воздуха,Бытовая техника,5
недорого и мощно,0,0,Предтренировочный комплекс,Спортивное питание,5
"Меня смущает звук в остальном стоит своих денег, в следующий раз чуть по дороже куплю",0,0,Эпилятор,Бытовая техника,4
Флешка не читается на стимдеке Пишет что либо она пиратская либо истек срок действия ее,1,0,Карта памяти,Электроника,1
"А так прекрасная вещь. Включил, 10 минут кино посмотрел, переставил и т.д. в итоге и фильм посмотрел, и белье погладил, и окна чистые.",0,0,Робот для мойки окон,Бытовая техника,5
Соответствует описанию.,0,0,Пищевой мел,Продукты питания,5
"мишка супер, огромный, классный, очень понравился",1,0,Плюшевый медведь,Игрушки,5
норм,0,1,Предтренировочный комплекс,Спортивное питание,5
вроде норм! включили работает!,0,0,Увлажнитель,Бытовая техника,4
"трусы облигают, но приятно",0,0,Трусы боксеры,Одежда,5
